Year,Units,Sex,Federal state,GeoCode,Value
2005,Percentage,Male,Schleswig-Holstein,code01,16.1
2006,Percentage,Male,Schleswig-Holstein,code01,18.2
2007,Percentage,Male,Schleswig-Holstein,code01,11.9
2008,Percentage,Male,Schleswig-Holstein,code01,13.8
2009,Percentage,Male,Schleswig-Holstein,code01,11.2
2010,Percentage,Male,Schleswig-Holstein,code01,12.5
2011,Percentage,Male,Schleswig-Holstein,code01,13.623
2012,Percentage,Male,Schleswig-Holstein,code01,12.874
2013,Percentage,Male,Schleswig-Holstein,code01,10.4
2014,Percentage,Male,Schleswig-Holstein,code01,13.087
2015,Percentage,Male,Schleswig-Holstein,code01,12.065
2016,Percentage,Male,Schleswig-Holstein,code01,10.82
2017,Percentage,Male,Schleswig-Holstein,code01,10.377
2018,Percentage,Male,Schleswig-Holstein,code01,11.183
2019,Percentage,Male,Schleswig-Holstein,code01,13.228
2022,Percentage,Male,Schleswig-Holstein,code01,13.9
2023,Percentage,Male,Schleswig-Holstein,code01,18.9
2005,Percentage,,Thuringia,code16,6.6
2006,Percentage,,Thuringia,code16,8.8
2007,Percentage,,Thuringia,code16,10.2
2008,Percentage,,Thuringia,code16,7.4
2009,Percentage,,Thuringia,code16,5.4
2010,Percentage,,Thuringia,code16,6.3
2011,Percentage,,Thuringia,code16,7.65
2012,Percentage,,Thuringia,code16,6.994
2013,Percentage,,Thuringia,code16,7.7
2014,Percentage,,Thuringia,code16,6.123
2015,Percentage,,Thuringia,code16,8.33
2016,Percentage,,Thuringia,code16,8.803
2017,Percentage,,Thuringia,code16,8.71
2018,Percentage,,Thuringia,code16,8.461
2019,Percentage,,Thuringia,code16,9.597
2021,Percentage,,Thuringia,code16,10.8
2022,Percentage,,Thuringia,code16,10.9
2023,Percentage,,Thuringia,code16,13.1
2005,Percentage,Female,Thuringia,code16,7.2
2006,Percentage,Female,Thuringia,code16,8.6
2007,Percentage,Female,Thuringia,code16,11.6
2008,Percentage,Female,Thuringia,code16,7.1
2009,Percentage,Female,Thuringia,code16,6.0
2010,Percentage,Female,Thuringia,code16,6.4
2011,Percentage,Female,Thuringia,code16,6.668
2005,Percentage,Male,Thuringia,code16,6.1
2006,Percentage,Male,Thuringia,code16,9.0
2007,Percentage,Male,Thuringia,code16,8.8
2008,Percentage,Male,Thuringia,code16,7.7
2009,Percentage,Male,Thuringia,code16,4.8
2010,Percentage,Male,Thuringia,code16,6.2
2011,Percentage,Male,Thuringia,code16,8.495
2012,Percentage,Male,Thuringia,code16,8.036
2013,Percentage,Male,Thuringia,code16,8.3
2015,Percentage,Male,Thuringia,code16,9.126
2016,Percentage,Male,Thuringia,code16,10.022
2017,Percentage,Male,Thuringia,code16,10.561
2018,Percentage,Male,Thuringia,code16,10.104
2019,Percentage,Male,Thuringia,code16,10.475
