Year,Units,time series,qualification,sex,federal state,GeoCode,Value
2008,percentage,,higher qualifying vocational training,male,,,7.873
2009,percentage,,higher qualifying vocational training,male,,,7.716
1999,percentage,,university degree,,,,14.758
2010,percentage,,university degree,,,,21.845
2011,percentage,,university degree,,,,20.718
2012,percentage,,university degree,,,,21.921
2013,percentage,,university degree,,,,23.661
2014,percentage,,university degree,,,,26.562
2015,percentage,,university degree,,,,27.312
2016,percentage,,university degree,,,,28.228
2017,percentage,,university degree,,,,28.615
2018,percentage,,university degree,,,,29.424
2019,percentage,,university degree,,,,30.073
2020,percentage,,university degree,,,,30.051
2021,percentage,,university degree,,,,31.643
2022,percentage,,university degree,,,,31.743
2023,percentage,,university degree,,,,33.556
2024,percentage,,university degree,,,,35.035
2000,percentage,,university degree,,,,15.033
2001,percentage,,university degree,,,,15.618
2002,percentage,,university degree,,,,15.477
2003,percentage,,university degree,,,,16.102
2004,percentage,,university degree,,,,17.435
2005,percentage,,university degree,,,,17.677
2006,percentage,,university degree,,,,17.995
2007,percentage,,university degree,,,,19.184
2008,percentage,,university degree,,,,20.344
2009,percentage,,university degree,,,,21.988
1999,percentage,,university degree,female,,,
2010,percentage,,university degree,female,,,22.156
2011,percentage,,university degree,female,,,21.081
2012,percentage,,university degree,female,,,22.529
2013,percentage,,university degree,female,,,24.098
2014,percentage,,university degree,female,,,27.374
2015,percentage,,university degree,female,,,28.689
2016,percentage,,university degree,female,,,29.285
2017,percentage,,university degree,female,,,30.235
2018,percentage,,university degree,female,,,31.053
2019,percentage,,university degree,female,,,31.956
2020,percentage,,university degree,female,,,31.916
2021,percentage,,university degree,female,,,33.594
2022,percentage,,university degree,female,,,34.414
2023,percentage,,university degree,female,,,36.045
2024,percentage,,university degree,female,,,37.633
2000,percentage,,university degree,female,,,12.747
2001,percentage,,university degree,female,,,
2002,percentage,,university degree,female,,,
2003,percentage,,university degree,female,,,14.324
2004,percentage,,university degree,female,,,15.746
2005,percentage,,university degree,female,,,16.594
2006,percentage,,university degree,female,,,17.284
2007,percentage,,university degree,female,,,18.837
2008,percentage,,university degree,female,,,20.263
2009,percentage,,university degree,female,,,22.064
1999,percentage,,university degree,male,,,
2010,percentage,,university degree,male,,,21.539
2011,percentage,,university degree,male,,,20.363
2012,percentage,,university degree,male,,,21.326
2013,percentage,,university degree,male,,,23.23
2014,percentage,,university degree,male,,,25.753
2015,percentage,,university degree,male,,,25.969
2016,percentage,,university degree,male,,,27.206
2017,percentage,,university degree,male,,,27.062
2018,percentage,,university degree,male,,,27.868
2019,percentage,,university degree,male,,,28.285
2020,percentage,,university degree,male,,,28.273
2021,percentage,,university degree,male,,,29.8
2022,percentage,,university degree,male,,,29.204
2023,percentage,,university degree,male,,,31.191
2024,percentage,,university degree,male,,,32.585
2000,percentage,,university degree,male,,,17.239
2001,percentage,,university degree,male,,,
2002,percentage,,university degree,male,,,
2003,percentage,,university degree,male,,,17.781
2004,percentage,,university degree,male,,,19.053
2005,percentage,,university degree,male,,,18.724
2006,percentage,,university degree,male,,,18.693
2007,percentage,,university degree,male,,,19.522
2008,percentage,,university degree,male,,,20.424
2009,percentage,,university degree,male,,,21.912
1999,percentage,,initial training,,,,49.396
2010,percentage,,initial training,,,,41.065
2011,percentage,,initial training,,,,40.482
2012,percentage,,initial training,,,,39.425
2013,percentage,,initial training,,,,38.693
2014,percentage,,initial training,,,,38.047
2015,percentage,,initial training,,,,36.855
2016,percentage,,initial training,,,,35.171
2017,percentage,,initial training,,,,34.264
2018,percentage,,initial training,,,,33.065
2019,percentage,,initial training,,,,32.248
2020,percentage,,initial training,,,,28.838
2021,percentage,,initial training,,,,26.274
2022,percentage,,initial training,,,,24.664
2023,percentage,,initial training,,,,22.718
2024,percentage,,initial training,,,,21.867
2000,percentage,,initial training,,,,49.322
2001,percentage,,initial training,,,,49.65
2002,percentage,,initial training,,,,48.917
2003,percentage,,initial training,,,,48.646
2004,percentage,,initial training,,,,46.517
2005,percentage,,initial training,,,,44.75
2006,percentage,,initial training,,,,43.96
2007,percentage,,initial training,,,,43.504
2008,percentage,,initial training,,,,42.921
2009,percentage,,initial training,,,,41.204
1999,percentage,,initial training,female,,,
2010,percentage,,initial training,female,,,39.405
2011,percentage,,initial training,female,,,38.186
2012,percentage,,initial training,female,,,36.887
2013,percentage,,initial training,female,,,36.193
2014,percentage,,initial training,female,,,35.163
2015,percentage,,initial training,female,,,33.5
2016,percentage,,initial training,female,,,32.001
2017,percentage,,initial training,female,,,31.554
2018,percentage,,initial training,female,,,30.558
2019,percentage,,initial training,female,,,29.631
2020,percentage,,initial training,female,,,25.707
2021,percentage,,initial training,female,,,24.016
2022,percentage,,initial training,female,,,22.266
2023,percentage,,initial training,female,,,20.038
2024,percentage,,initial training,female,,,19.423
2000,percentage,,initial training,female,,,50.121
2001,percentage,,initial training,female,,,
2002,percentage,,initial training,female,,,
2003,percentage,,initial training,female,,,48.995
2004,percentage,,initial training,female,,,46.648
2005,percentage,,initial training,female,,,44.886
2006,percentage,,initial training,female,,,43.095
2007,percentage,,initial training,female,,,42.657
2008,percentage,,initial training,female,,,41.379
2009,percentage,,initial training,female,,,39.704
1999,percentage,,initial training,male,,,
2010,percentage,,initial training,male,,,42.697
2011,percentage,,initial training,male,,,42.734
2012,percentage,,initial training,male,,,41.907
2013,percentage,,initial training,male,,,41.153
2014,percentage,,initial training,male,,,40.92
2015,percentage,,initial training,male,,,40.13
2016,percentage,,initial training,male,,,38.238
2017,percentage,,initial training,male,,,36.862
2018,percentage,,initial training,male,,,35.459
2019,percentage,,initial training,male,,,34.733
2020,percentage,,initial training,male,,,31.825
2021,percentage,,initial training,male,,,28.405
2022,percentage,,initial training,male,,,26.943
2023,percentage,,initial training,male,,,25.264
2024,percentage,,initial training,male,,,24.172
2000,percentage,,initial training,male,,,48.549
2001,percentage,,initial training,male,,,
2002,percentage,,initial training,male,,,
2003,percentage,,initial training,male,,,48.317
2004,percentage,,initial training,male,,,46.391
2005,percentage,,initial training,male,,,44.619
2006,percentage,,initial training,male,,,44.808
2007,percentage,,initial training,male,,,44.327
2008,percentage,,initial training,male,,,44.444
2009,percentage,,initial training,male,,,42.688
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.747
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.435
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.745
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.889
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,83.211
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,83.781
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,83.694
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,83.079
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,83.099
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.898
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.736
2020,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,81.123
2021,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,79.916
2022,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,78.211
2023,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,78.057
2024,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,79.196
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.319
2001,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.822
2002,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.193
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.594
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.738
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,80.75
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,80.464
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,81.142
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,81.787
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,82.007
2030,percentage,<u>additional time series:</u> skilled labour potential (total),,,,,
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,82.152
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,82.547
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,82.871
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,83.036
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,83.537
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,83.993
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,83.329
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,84.193
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,84.384
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,84.042
2020,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,82.256
2021,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,81.506
2022,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,79.803
2023,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,79.441
2024,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,81.004
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,81.001
2001,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,
2002,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,81.227
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,81.302
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,79.878
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,79.577
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,80.69
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,81.069
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,female,,,81.903
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,82.713
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,82.843
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,82.81
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,83.382
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,83.825
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,83.205
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,82.836
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,82.051
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,81.479
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,81.497
2020,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,80.044
2021,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,78.413
2022,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,76.698
2023,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,76.742
2024,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,77.49
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,83.591
2001,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,
2002,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,83.784
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,84.113
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,81.594
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,81.333
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,81.583
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,82.299
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,male,,,81.911
